X,Y,id,left,top,right,bottom
86.224301523,27.221290492,"961",86.224301523,27.221290492,86.324301523,27.321290492
86.224301523,27.121290492,"962",86.224301523,27.121290492,86.324301523,27.221290492
86.224301523,27.021290492,"963",86.224301523,27.021290492,86.324301523,27.121290492
86.224301523,26.921290492,"964",86.224301523,26.921290492,86.324301523,27.021290492
86.224301523,26.821290492,"965",86.224301523,26.821290492,86.324301523,26.921290492
86.224301523,26.721290492,"966",86.224301523,26.721290492,86.324301523,26.821290492
86.224301523,26.621290492,"967",86.224301523,26.621290492,86.324301523,26.721290492
86.224301523,26.521290492,"968",86.224301523,26.521290492,86.324301523,26.621290492
86.224301523,26.421290492,"969",86.224301523,26.421290492,86.324301523,26.521290492
86.224301523,26.321290492,"970",86.224301523,26.321290492,86.324301523,26.421290492
86.224301523,26.221290492,"971",86.224301523,26.221290492,86.324301523,26.321290492
86.224301523,26.121290492,"972",86.224301523,26.121290492,86.324301523,26.221290492
86.224301523,26.021290492,"973",86.224301523,26.021290492,86.324301523,26.121290492
86.224301523,25.921290492,"974",86.224301523,25.921290492,86.324301523,26.021290492
86.224301523,25.821290492,"975",86.224301523,25.821290492,86.324301523,25.921290492
86.224301523,25.721290492,"976",86.224301523,25.721290492,86.324301523,25.821290492
86.224301523,25.621290492,"977",86.224301523,25.621290492,86.324301523,25.721290492
86.224301523,25.521290492,"978",86.224301523,25.521290492,86.324301523,25.621290492
86.224301523,25.421290492,"979",86.224301523,25.421290492,86.324301523,25.521290492
86.224301523,25.321290492,"980",86.224301523,25.321290492,86.324301523,25.421290492
86.224301523,25.221290492,"981",86.224301523,25.221290492,86.324301523,25.321290492
86.224301523,25.121290492,"982",86.224301523,25.121290492,86.324301523,25.221290492
86.224301523,25.021290492,"983",86.224301523,25.021290492,86.324301523,25.121290492
86.224301523,24.921290492,"984",86.224301523,24.921290492,86.324301523,25.021290492
86.224301523,24.821290492,"985",86.224301523,24.821290492,86.324301523,24.921290492
86.224301523,24.721290492,"986",86.224301523,24.721290492,86.324301523,24.821290492
86.224301523,24.621290492,"987",86.224301523,24.621290492,86.324301523,24.721290492
86.224301523,24.521290492,"988",86.224301523,24.521290492,86.324301523,24.621290492
86.224301523,24.421290492,"989",86.224301523,24.421290492,86.324301523,24.521290492
86.224301523,24.321290492,"990",86.224301523,24.321290492,86.324301523,24.421290492
86.324301523,27.521290492,"991",86.324301523,27.521290492,86.424301523,27.621290492
86.324301523,27.421290492,"992",86.324301523,27.421290492,86.424301523,27.521290492
86.324301523,27.321290492,"993",86.324301523,27.321290492,86.424301523,27.421290492
